image_path,label,row_index,template,dark_mode,subject
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00000.png,0,0,Outlook,False,Important: Disc Uniformitarianism Sex
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00001.png,0,1,Gmail,False,Important: The Other Side
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00002.png,0,2,Gmail,True,Important: Equistar Deal Tickets
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00003.png,1,3,Gmail,False,Hello I am your hot lil horny toy.
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00004.png,1,4,Mobile,False,Important: Software Incredibly Low
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00005.png,0,5,Gmail,True,Important: Global Risk Management
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00006.png,0,6,Gmail,False,"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermu..."
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00007.png,1,7,Outlook,False,Important: Entourage Stockmogul Newsletter
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00008.png,1,8,Mobile,False,Important: Owe You Lots
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00009.png,0,9,Mobile,True,Important: Coastal Deal With
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00010.png,1,10,Outlook,False,Important: Make Her Beg
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00011.png,0,11,Mobile,True,"URL: http://www.newsisfree.com/click/-5,8304313,17..."
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00012.png,0,12,Outlook,False,Important: Begin Forwarded Text
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00013.png,0,13,Gmail,True,Important: Fyi Wellhead Portfolio
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00014.png,0,14,Mobile,False,Important: Rmmla Ads Papers
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00015.png,0,15,Outlook,False,Important: Testing Var Nick
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00016.png,0,16,Outlook,True,The academic discipline of Software Engineering wa...
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00017.png,0,17,Outlook,False,Important: Queries Language Speakers
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00018.png,0,18,Outlook,True,Important: Resume John This
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00019.png,0,19,Outlook,True,* ALERT: Bait and Switch: Anticounterfeiting Bill ...
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00020.png,0,20,Mobile,False,Important: Meeting Feb Dear
C:\Users\cs001\Downloads\Compressed\Phishing_Email.csv_2\email_images\email_00021.png,1,21,Gmail,True,Important: Formal Invite For
